dataset_id,year,territory,sex,age_group,citizenship,movement_category,flow_direction,value,unit,source,notes
migration_istat,2018,Bergamo,Female,0-17,Foreign,Altra provincia stessa regione,Emigrati,104,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Female,0-17,Foreign,Altra provincia stessa regione,Immigrati,114,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Female,0-17,Foreign,Altre regioni,Emigrati,59,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Female,0-17,Foreign,Altre regioni,Immigrati,99,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Female,0-17,Foreign,Estero,Emigrati,68,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Female,0-17,Foreign,Estero,Immigrati,555,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Female,0-17,Foreign,Italia,Emigrati,772,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Female,0-17,Foreign,Italia,Immigrati,822,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Female,0-17,Foreign,Stessa provincia,Emigrati,609,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Female,0-17,Foreign,Stessa provincia,Immigrati,609,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Female,0-17,Foreign,Tutte le voci,Emigrati,840,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Female,0-17,Foreign,Tutte le voci,Immigrati,1377,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Female,0-17,Italian,Altra provincia stessa regione,Emigrati,237,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Female,0-17,Italian,Altra provincia stessa regione,Immigrati,285,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Female,0-17,Italian,Altre regioni,Emigrati,185,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Female,0-17,Italian,Altre regioni,Immigrati,229,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Female,0-17,Italian,Estero,Emigrati,307,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Female,0-17,Italian,Estero,Immigrati,89,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Female,0-17,Italian,Italia,Emigrati,1997,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Female,0-17,Italian,Italia,Immigrati,2089,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Female,0-17,Italian,Stessa provincia,Emigrati,1575,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Female,0-17,Italian,Stessa provincia,Immigrati,1575,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Female,0-17,Italian,Tutte le voci,Emigrati,2304,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Female,0-17,Italian,Tutte le voci,Immigrati,2178,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Female,0-17,Total,Altra provincia stessa regione,Emigrati,341,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Female,0-17,Total,Altra provincia stessa regione,Immigrati,399,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Female,0-17,Total,Altre regioni,Emigrati,244,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Female,0-17,Total,Altre regioni,Immigrati,328,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Female,0-17,Total,Estero,Emigrati,375,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Female,0-17,Total,Estero,Immigrati,644,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Female,0-17,Total,Italia,Emigrati,2769,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Female,0-17,Total,Italia,Immigrati,2911,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Female,0-17,Total,Stessa provincia,Emigrati,2184,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Female,0-17,Total,Stessa provincia,Immigrati,2184,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Female,0-17,Total,Tutte le voci,Emigrati,3144,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Female,0-17,Total,Tutte le voci,Immigrati,3555,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Male,0-17,Foreign,Altra provincia stessa regione,Emigrati,151,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Male,0-17,Foreign,Altra provincia stessa regione,Immigrati,131,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Male,0-17,Foreign,Altre regioni,Emigrati,45,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Male,0-17,Foreign,Altre regioni,Immigrati,108,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Male,0-17,Foreign,Estero,Emigrati,85,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Male,0-17,Foreign,Estero,Immigrati,621,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Male,0-17,Foreign,Italia,Emigrati,871,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Male,0-17,Foreign,Italia,Immigrati,914,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Male,0-17,Foreign,Stessa provincia,Emigrati,675,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Male,0-17,Foreign,Stessa provincia,Immigrati,675,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Male,0-17,Foreign,Tutte le voci,Emigrati,956,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Male,0-17,Foreign,Tutte le voci,Immigrati,1535,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Male,0-17,Italian,Altra provincia stessa regione,Emigrati,257,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Male,0-17,Italian,Altra provincia stessa regione,Immigrati,249,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Male,0-17,Italian,Altre regioni,Emigrati,160,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Male,0-17,Italian,Altre regioni,Immigrati,228,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Male,0-17,Italian,Estero,Emigrati,365,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Male,0-17,Italian,Estero,Immigrati,89,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Male,0-17,Italian,Italia,Emigrati,2035,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Male,0-17,Italian,Italia,Immigrati,2095,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Male,0-17,Italian,Stessa provincia,Emigrati,1618,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Male,0-17,Italian,Stessa provincia,Immigrati,1618,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Male,0-17,Italian,Tutte le voci,Emigrati,2400,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Male,0-17,Italian,Tutte le voci,Immigrati,2184,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Male,0-17,Total,Altra provincia stessa regione,Emigrati,408,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Male,0-17,Total,Altra provincia stessa regione,Immigrati,380,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Male,0-17,Total,Altre regioni,Emigrati,205,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Male,0-17,Total,Altre regioni,Immigrati,336,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Male,0-17,Total,Estero,Emigrati,450,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Male,0-17,Total,Estero,Immigrati,710,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Male,0-17,Total,Italia,Emigrati,2906,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Male,0-17,Total,Italia,Immigrati,3009,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Male,0-17,Total,Stessa provincia,Emigrati,2293,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Male,0-17,Total,Stessa provincia,Immigrati,2293,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Male,0-17,Total,Tutte le voci,Emigrati,3356,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Male,0-17,Total,Tutte le voci,Immigrati,3719,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Total,0-17,Foreign,Altra provincia stessa regione,Emigrati,255,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Total,0-17,Foreign,Altra provincia stessa regione,Immigrati,245,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Total,0-17,Foreign,Altre regioni,Emigrati,104,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Total,0-17,Foreign,Altre regioni,Immigrati,207,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Total,0-17,Foreign,Estero,Emigrati,153,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Total,0-17,Foreign,Estero,Immigrati,1176,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Total,0-17,Foreign,Italia,Emigrati,1643,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Total,0-17,Foreign,Italia,Immigrati,1736,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Total,0-17,Foreign,Stessa provincia,Emigrati,1284,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Total,0-17,Foreign,Stessa provincia,Immigrati,1284,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Total,0-17,Foreign,Tutte le voci,Emigrati,1796,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Total,0-17,Foreign,Tutte le voci,Immigrati,2912,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Total,0-17,Italian,Altra provincia stessa regione,Emigrati,494,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Total,0-17,Italian,Altra provincia stessa regione,Immigrati,534,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Total,0-17,Italian,Altre regioni,Emigrati,345,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Total,0-17,Italian,Altre regioni,Immigrati,457,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Total,0-17,Italian,Estero,Emigrati,672,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Total,0-17,Italian,Estero,Immigrati,178,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Total,0-17,Italian,Italia,Emigrati,4032,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Total,0-17,Italian,Italia,Immigrati,4184,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Total,0-17,Italian,Stessa provincia,Emigrati,3193,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Total,0-17,Italian,Stessa provincia,Immigrati,3193,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Total,0-17,Italian,Tutte le voci,Emigrati,4704,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Total,0-17,Italian,Tutte le voci,Immigrati,4362,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Total,0-17,Total,Altra provincia stessa regione,Emigrati,749,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Total,0-17,Total,Altra provincia stessa regione,Immigrati,779,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Total,0-17,Total,Altre regioni,Emigrati,449,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Total,0-17,Total,Altre regioni,Immigrati,664,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Total,0-17,Total,Estero,Emigrati,825,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
migration_istat,2018,Bergamo,Total,0-17,Total,Estero,Immigrati,1354,count,ISTAT migration registrations / cancellations,"Flows by age group, sex, citizenship and origin/destination category. Total sex, Total citizenship and 0-39 age group are computed from additive count rows; movement category Tutte le voci is the source total and is not computed from categories."
